user_id,n_candidates,n_prior_orders,ndcg10_model,recall10_model,ndcg10_baseline_freq,recall10_baseline_freq,ndcg10_baseline_freq_recency,recall10_baseline_freq_recency
156122,154,52,0.7529694065526482,0.3181818181818182,0.7819835854675756,0.3181818181818182,0.7819835854675756,0.3181818181818182
3107,49,27,0.0,0.0,0.0,0.0,0.0,0.0
88772,89,37,0.9493885684853097,1.0,0.7365896932159578,0.75,0.787702056960637,0.75
30822,198,34,0.3870159539471055,0.75,0.2638647595767405,0.5,0.2638647595767405,0.5
68572,115,22,0.2765732350040718,0.4,0.1208113026994942,0.2,0.1208113026994942,0.2
115481,218,89,0.0,0.0,0.0,0.0,0.0,0.0
69984,116,22,0.542364015420035,0.4,0.4373524791503101,0.3,0.44409732781325584,0.3
197745,61,99,0.5087403079104241,0.4,0.48522855511632257,0.4,0.48522855511632257,0.4
184355,59,17,0.13565197343244778,0.3333333333333333,0.2960819109658652,0.3333333333333333,0.46927872602275644,0.3333333333333333
126892,147,50,0.841492960259019,0.6153846153846154,0.3494867399516553,0.3076923076923077,0.41628452663299526,0.38461538461538464
4209,125,21,0.26852556974265224,0.25,0.28606042850872493,0.25,0.26852556974265224,0.25
21336,30,10,0.38685280723454163,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0
154766,30,8,0.31546487678572877,1.0,0.3562071871080222,1.0,0.3562071871080222,1.0
171199,73,17,0.0,0.0,0.13120507751234178,0.2,0.13120507751234178,0.2
185432,113,28,0.4631896595828493,0.3333333333333333,0.48189984052515566,0.3333333333333333,0.48189984052515566,0.3333333333333333
29096,150,19,0.6730234638881231,0.5714285714285714,0.5522955376820518,0.5714285714285714,0.6018528690261676,0.5714285714285714
198240,41,64,0.5889556853481906,0.6666666666666666,0.5413753343496284,0.5,0.5413753343496284,0.5
48730,78,17,0.3398414932237255,0.36363636363636365,0.43199642233783897,0.45454545454545453,0.43199642233783897,0.45454545454545453
6801,97,79,1.0,1.0,0.9828920819566879,1.0,0.9828920819566879,1.0
172653,81,30,0.0,0.0,0.0,0.0,0.0,0.0
51849,62,9,0.7125523635307983,0.375,0.5861163849908828,0.3125,0.6300426811446147,0.3125
164176,62,19,0.4368949625569334,0.6,0.21398626473452756,0.2,0.21398626473452756,0.2
181193,105,36,0.6366824387328317,0.5,0.6366824387328317,0.5,0.6366824387328317,0.5
48412,132,21,0.5478527392247046,0.2777777777777778,0.447734522612947,0.2777777777777778,0.45484422125791807,0.2777777777777778
40496,132,32,0.5014839712467825,0.5,0.4103915680233244,0.3333333333333333,0.4034698846650846,0.3333333333333333
69420,7,5,0.6309297535714575,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0
16482,263,28,0.4950605206767563,0.42857142857142855,0.46441470256902223,0.42857142857142855,0.46441470256902223,0.42857142857142855
31111,309,48,0.6713860725233041,0.6666666666666666,0.37590633587120725,0.6666666666666666,0.38268031849431083,0.6666666666666666
25883,58,27,0.5855700749881525,0.5,0.715696758318853,0.75,0.7246262544989281,0.75
204912,113,34,0.5449960234716782,0.5,0.41966500663677697,0.3333333333333333,0.41966500663677697,0.3333333333333333
146921,45,7,0.5531464700081437,0.4,0.6661998717660157,0.6,0.6601396023754075,0.6
138800,284,47,0.7227265726449519,0.6,0.6843515475204855,0.6,0.6992148198508501,0.6
85219,147,50,0.44092032933086756,0.3076923076923077,0.535254316775064,0.3076923076923077,0.5384313152574522,0.3076923076923077
30564,242,52,0.6399441431116328,0.46153846153846156,0.542364015420035,0.3076923076923077,0.542364015420035,0.3076923076923077
152537,43,3,0.0,0.0,0.0,0.0,0.0,0.0
22757,23,15,0.8318724637288826,0.75,0.8318724637288826,0.75,0.8318724637288826,0.75
21823,121,18,0.4249260138166711,0.25,0.4883491838252098,0.4166666666666667,0.4760705018418427,0.4166666666666667
48968,129,12,0.14926017916129347,0.25,0.23573241784227988,0.25,0.15958907712489637,0.125
190797,182,60,0.314880130667631,0.1111111111111111,0.24890832702259466,0.1111111111111111,0.24890832702259466,0.1111111111111111
70318,57,6,0.5922216874835863,0.6,0.6060398578158167,0.6,0.5982819568741946,0.6
116022,49,33,1.0,1.0,1.0,1.0,1.0,1.0
5860,280,65,0.30919416469956,0.2222222222222222,0.2658200052773918,0.2222222222222222,0.2658200052773918,0.2222222222222222
85484,54,11,0.3517669297871228,0.42857142857142855,0.31480817123988064,0.42857142857142855,0.44196743875655675,0.5714285714285714
21807,18,8,1.0,0.9090909090909091,1.0,0.9090909090909091,1.0,0.9090909090909091
132856,101,26,0.6601585067762745,0.4,0.6025064803817582,0.3333333333333333,0.6025064803817582,0.3333333333333333
41934,63,5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
156505,317,74,0.21801641453242443,0.08823529411764706,0.23758350840568815,0.08823529411764706,0.23758350840568815,0.08823529411764706
119249,65,10,0.6108377030333358,0.6,0.40777831251641367,0.6,0.5711473021664631,0.8
184695,244,17,0.33405144466421566,0.3,0.32227224912195473,0.3,0.24890832702259466,0.2
81339,12,46,1.0,1.0,1.0,1.0,1.0,1.0
70381,149,15,0.6968404678259547,0.20689655172413793,0.6969383549984333,0.20689655172413793,0.6969383549984333,0.20689655172413793
157339,150,44,0.20438239758848611,0.5,0.0,0.0,0.0,0.0
100993,149,38,0.5004041931001163,0.5714285714285714,0.2797643380184693,0.2857142857142857,0.2797643380184693,0.2857142857142857
203202,53,6,0.8315546295836225,1.0,0.6131471927654584,0.5,0.8772153153380493,1.0
32227,93,25,0.8020378746650065,0.7142857142857143,0.7646489081928866,0.7142857142857143,0.7646489081928866,0.7142857142857143
61895,212,46,0.508473817692402,0.14705882352941177,0.5599332595218056,0.14705882352941177,0.5631102580041939,0.14705882352941177
144897,69,46,0.6713527276121545,0.75,0.5585075862632192,0.5,0.5585075862632192,0.5
82320,135,36,0.0,0.0,0.38685280723454163,1.0,0.31546487678572877,1.0
14777,143,18,0.7059054020403313,0.25,0.6267310462031456,0.25,0.5727555047321238,0.20833333333333334
107844,30,8,0.31546487678572877,1.0,0.0,0.0,0.0,0.0
110045,142,31,0.3391602052736161,0.2,0.3391602052736161,0.2,0.3391602052736161,0.2
14437,102,99,0.7964203751627554,0.875,0.6201883649938427,0.625,0.6201883649938427,0.625
138241,306,99,0.15101961822780524,0.25,0.0,0.0,0.0,0.0
79754,43,18,0.6601396023754075,0.6,0.6843515475204855,0.6,0.6843515475204855,0.6
108845,55,22,0.5493640533376876,0.5,0.4935232796777481,0.3333333333333333,0.4935232796777481,0.3333333333333333
6418,66,5,0.28370668581296504,0.42857142857142855,0.27134058233820724,0.2857142857142857,0.24377484748737527,0.2857142857142857
38668,15,3,0.8502983370860306,1.0,0.5482507327637915,0.6,0.8748551918782664,1.0
155694,70,8,0.59839506697425,0.23809523809523808,0.5541432109622959,0.19047619047619047,0.5637884576902257,0.19047619047619047
172748,88,63,0.7365896932159578,0.75,0.44149241373678083,0.5,0.44149241373678083,0.5
26422,95,13,0.2960819109658652,0.3333333333333333,0.14126697285982898,0.3333333333333333,0.0,0.0
38930,315,67,0.7859162856301584,0.30434782608695654,0.5884674004369674,0.21739130434782608,0.7471589728148226,0.30434782608695654
19259,60,37,0.6601396023754075,0.6,0.5531464700081437,0.4,0.5531464700081437,0.4
150599,18,6,0.43067655807339306,1.0,0.3333333333333333,1.0,0.3562071871080222,1.0
97218,246,45,0.6309297535714575,1.0,0.0,0.0,0.0,0.0
148375,124,99,0.3476291110051452,0.5,0.5274541611612878,0.5,0.5274541611612878,0.5
92967,148,40,0.4695140628038534,0.375,0.6233173655322679,0.5,0.6233173655322679,0.5
